加總 - new_cases,欄標籤,,,
列標籤,2020年,2021年,2022年,總計
7月,76274,59869,250853,386996
8月,56059,22904,266876,345839
9月,51265,15589,115885,182739
10月,47265,40784,135879,223928
11月,41487,67703,159824,269014
12月,57230,43743,41141,142114
China,93153,21489,1769050,1883692
1月,9236,3649,4901,17786
2月,69468,616,4675,74759
3月,3814,650,103254,107718
4月,2681,873,583334,586888
5月,642,927,72570,74139
6月,693,1206,4755,6654
7月,1122,1698,17335,20155
8月,1272,2477,50500,54249
9月,949,1663,34753,37365
10月,1381,1535,41545,44461
11月,1101,2152,567411,570664
12月,794,4043,284017,288854
Colombia,1642775,3514665,1159570,6317010
1月,,452109,729821,1181930
2月,,156806,177322,334128
3月,906,154687,20333,175926
4月,5601,453347,7751,466699
5月,22876,546732,10788,580396
6月,68463,834526,71726,974715
7月,197662,544338,90617,832617
8月,319586,123766,33797,477149
9月,214585,48191,7777,270553
10月,244505,45110,2344,291959
11月,242622,67257,2941,312820
12月,325969,87796,4353,418118
Comoros,823,5692,2462,8977
1月,,1903,1317,3220
2月,,845,201,1046
3月,,125,53,178
4月,1,138,19,158
5月,105,47,15,167
6月,197,55,19,271
7月,75,92,176,343
8月,45,40,140,225
9月,56,73,16,145
10月,66,118,291,475
11月,66,242,203,511
12月,212,2014,12,2238
Congo,7107,12982,5286,25375
1月,,780,3616,4396
2月,,933,315,1248
3月,19,861,51,931
4月,201,997,8,1206
5月,391,980,0,1371
6月,476,938,49,1463
7月,2113,590,647,3350
8月,779,402,62,1243
9月,1110,656,0,1766
10月,201,3079,0,3280
11月,484,1647,538,2669
12月,1333,1119,0,2452
Cook Islands,,2,6387,6389
1月,,,0,0
2月,,,8,8
3月,,,1976,1976
4月,,,3045,3045
5月,,1,644,645
6月,,0,99,99
7月,,0,268,268
8月,,0,223,223
9月,,0,124,124
10月,,0,0,0
11月,,0,0,0
12月,,1,0,1
Costa Rica,169321,401235,578358,1148914
1月,,23955,124309,148264
2月,,11065,112063,123128
3月,347,12423,31609,44379
4月,372,34227,13537,48136
5月,337,67995,38964,107296
6月,2403,48952,13896,65251
7月,14361,38876,123441,176678
8月,23467,56912,60341,140720
9月,34473,68459,29273,132205
10月,34211,27513,15107,76831
11月,29667,7141,13039,49847
12月,29683,3717,2779,36179
Cote d'Ivoire,22524,48514,16890,87928
1月,,5909,9714,15623
2月,,4355,765,5120
3月,179,11135,258,11572
4月,1096,2147,189,3432
5月,1558,1256,285,3099
6月,6666,1013,1248,8927
7月,6548,1830,1843,10221
8月,2020,5534,1432,8986
9月,1657,4584,470,6711
10月,992,1044,566,2602
11月,615,427,111,1153
12月,1193,9280,9,10482
Croatia,210837,504408,541854,1257099
1月,,21589,221922,243511
2月,6,10547,117627,128180
3月,861,28659,44382,73902
4月,1209,60551,23283,85043
5月,170,23998,14041,38209
6月,531,3691,12028,16250
7月,2362,3743,38211,44316
8月,5130,10383,26919,42432
9月,6324,30792,18721,55837
10月,32723,65558,14568,112849
11月,79126,137857,6814,223797
12月,82395,107040,3338,192773
Cuba,11863,954141,145560,1111564
1月,,14823,78786,93609
2月,,23093,25072,48165
3月,186,25484,20423,46093
4月,1315,31444,12656,45415
5月,544,35559,2378,38481
6月,296,48727,704,49727
7月,267,193603,2071,195941
8月,1424,268259,2445,272128
9月,1565,224573,647,226785
10月,1290,74573,99,75962
11月,1397,10485,107,11989
12月,3579,3518,172,7269
Curacao,4260,17065,24661,45986
1月,,325,15803,16128
2月,,145,1816,1961
3月,11,3674,1402,5087
4月,5,3791,1895,5691
5月,3,77,1623,1703
6月,4,70,681,755
7月,6,1283,518,1807
8月,39,1674,239,1952
9月,324,1201,66,1591
10月,578,584,99,1261
11月,1409,317,519,2245
12月,1881,3924,0,5805
Cyprus,22346,144481,455275,622102
1月,,8881,89919,98800
2月,,3708,65770,69478
3月,230,11170,108210,119610
4月,613,20097,49494,70204
5月,100,7281,9743,17124
6月,53,3069,14754,17876
7月,88,26374,58194,84656
8月,403,12384,13367,26154
9月,256,4833,11716,16805
10月,2474,3874,11124,17472
11月,6166,10456,15119,31741
12月,11963,32354,7865,52182
Czechia,718661,1760378,2102334,4581373
1月,,266113,640160,906273
2月,,250706,658384,909090
3月,3308,299066,292291,594665
4月,4374,98426,102779,205579
5月,1586,30514,18987,51087
6月,2686,6015,16556,25257
7月,4620,6289,68565,79474
8月,8044,5613,78744,92401
9月,46145,12300,94310,152755
10月,264339,72509,77152,414000
11月,188196,387140,45115,620451
12月,195363,325687,9291,530341
Democratic Republic of Congo,17658,57135,19921,94714
1月,,5113,10586,15699
2月,,3142,639,3781
3月,98,2229,730,3057
4月,474,1711,275,2460
5月,2498,1798,1351,5647
6月,3969,9185,2708,15862
7月,2031,9081,1091,12203
8月,1027,4946,461,6434
9月,562,2074,259,2895
10月,647,533,193,1373
11月,1466,764,1118,3348
12月,4886,16559,510,21955
Denmark,163479,640919,2564944,3369342
1月,,34993,940172,975165
2月,3,12723,1022269,1034995
3月,2857,21409,293935,318201
4月,6298,19951,57882,84131
5月,2511,30673,20241,53425
6月,1099,12450,34870,48419
7月,1021,23130,57900,82051
8月,3196,28886,43539,75621
9月,11013,13103,26329,50445
10月,18353,28987,35060,82400
11月,34130,99618,19106,152854
12月,82998,314996,13641,411635
Djibouti,5831,7825,2034,15690
1月,,101,1808,1909
2月,,134,83,217
3月,30,1936,40,2006
4月,1059,3098,24,4181
5月,2265,433,64,2762
6月,1328,69,15,1412
7月,402,49,0,451
8月,303,99,0,402
9月,29,1061,0,1090
10月,145,667,0,812
11月,118,26,0,144
12月,152,152,0,304
Dominica,88,6760,8946,15794
1月,,29,2218,2247
2月,,25,2076,2101
3月,12,19,751,782
4月,4,13,174,191
5月,0,14,2151,2165
6月,2,5,668,675
7月,0,17,0,17
8月,2,1428,0,1430
9月,10,1843,895,2748
10月,20,1342,13,1375
11月,35,1205,0,1240
12月,3,820,0,823
Dominican Republic,170785,247993,232212,650990
1月,,43275,136467,179742
2月,,25557,19311,44868
3月,1109,13110,3464,17683
4月,5863,13834,1228,20925
5月,10313,26225,4781,41319
6月,15283,32435,21755,69473
7月,37081,16684,22429,76194
8月,25066,8268,10287,43621
9月,17494,8874,5856,32224
10月,14809,22620,2916,40345
11月,16970,25584,3109,45663
12月,26797,11527,609,38933
Ecuador,223578,337313,468761,1029652
1月,,38316,182620,220936
2月,,35327,95722,131049
3月,2240,42600,32130,76970
4月,22694,53107,9806,85607
5月,17277,44175,7586,69038
6月,17334,32467,32600,82401
7月,28923,28868,51463,109254
8月,28412,14371,34623,77406
9月,31233,8434,7810,47477
10月,31145,7085,4257,42487
11月,24493,10478,3097,38068
12月,19827,22085,7047,48959
Egypt,138062,247513,130070,515645
1月,,27889,40336,68225
2月,1,16473,57860,74334
3月,709,19707,21493,41909
4月,4827,25421,10381,40629
5月,19448,35098,0,54546
6月,43326,18632,0,61958
7月,25767,2980,0,28747
8月,4861,4179,0,9040
9月,4259,16083,0,20342
10月,4357,26493,0,30850
11月,8356,27561,0,35917
12月,22151,26997,0,49148
El Salvador,46334,75703,79840,201877
1月,,8724,13164,21888
2月,,5215,21255,26470
3月,32,4545,4688,9265
4月,363,4472,1037,5872
5月,2122,4504,666,7292
6月,3921,5064,6891,15876
7月,10194,7854,21172,39220
8月,9097,7440,10967,27504
9月,3440,10288,0,13728
10月,4749,9074,0,13823
11月,5115,6381,0,11496
12月,7301,2142,0,9443
England,,,,
1月,,,,
2月,,,,
3月,,,,
4月,,,,
5月,,,,
6月,,,,
7月,,,,
8月,,,,
9月,,,,
10月,,,,
11月,,,,
12月,,,,
Equatorial Guinea,5277,8433,3571,17281
