,country_name,country_id,year,v2cldiscm,v2cldiscw,v2clacfree,v2clrelig,v2clfmove,v2cldmovem,v2cldmovew,score,pan_dem
0,Mexico,3,2018,2.688,1.442,1.76,1.263,2.059,1.837,2.008,13.056999999999999,0.4663214285714285
1,Mexico,3,2019,2.688,1.442,1.76,1.263,2.059,1.837,2.008,13.056999999999999,0.4663214285714285
2,Mexico,3,2020,1.694,1.005,1.699,1.263,2.059,1.837,2.008,11.565000000000001,0.41303571428571434
3,Mexico,3,2021,1.694,1.005,1.163,1.263,2.059,0.84,2.008,10.032,0.35828571428571426
4,Suriname,4,2018,2.373,1.873,1.481,1.208,1.817,2.156,1.421,12.329,0.4403214285714286
5,Suriname,4,2019,1.563,1.873,1.481,1.208,1.44,1.516,1.421,10.501999999999999,0.37507142857142856
6,Suriname,4,2020,1.774,1.853,1.481,2.241,1.792,1.516,1.421,12.078,0.43135714285714283
7,Suriname,4,2021,2.33,1.853,0.814,2.241,1.792,2.079,1.653,12.762,0.4557857142857143
8,Sweden,5,2018,1.873,1.974,3.263,2.667,1.988,1.812,1.896,15.472999999999999,0.5526071428571429
9,Sweden,5,2019,1.873,1.974,3.263,2.667,1.988,1.812,1.896,15.472999999999999,0.5526071428571429
10,Sweden,5,2020,1.873,1.974,3.263,2.667,1.989,1.935,1.896,15.597000000000001,0.5570357142857143
11,Sweden,5,2021,1.873,1.974,3.263,2.667,1.989,1.935,1.896,15.597000000000001,0.5570357142857143
12,Switzerland,6,2018,2.574,2.87,2.962,1.63,2.257,1.719,1.884,15.896,0.5677142857142857
13,Switzerland,6,2019,2.574,2.87,2.962,1.63,2.257,1.719,1.884,15.896,0.5677142857142857
14,Switzerland,6,2020,2.574,2.87,2.962,1.63,0.837,1.719,1.884,14.476,0.517
15,Switzerland,6,2021,2.574,2.87,2.962,1.63,1.749,1.719,1.884,15.388000000000002,0.5495714285714286
16,Ghana,7,2018,2.176,1.613,2.273,2.482,1.892,2.543,1.53,14.508999999999999,0.5181785714285714
17,Ghana,7,2019,2.176,1.613,1.699,2.482,2.545,2.543,1.53,14.588,0.521
18,Ghana,7,2020,2.581,1.954,1.699,2.482,1.83,2.543,2.129,15.218000000000002,0.5435000000000001
19,Ghana,7,2021,1.538,1.005,1.364,2.482,1.83,2.543,2.129,12.891,0.46039285714285716
20,South Africa,8,2018,1.421,1.598,2.054,2.278,1.36,1.93,1.663,12.304,0.43942857142857145
21,South Africa,8,2019,1.421,1.598,2.057,2.278,1.36,1.498,1.178,11.39,0.4067857142857143
22,South Africa,8,2020,1.421,1.392,2.057,2.278,1.327,1.498,0.965,10.937999999999999,0.3906428571428571
23,South Africa,8,2021,1.421,1.392,2.057,2.278,1.327,1.498,0.965,10.937999999999999,0.3906428571428571
24,Japan,9,2018,1.929,1.347,2.273,2.513,1.774,2.145,2.342,14.322999999999999,0.5115357142857142
25,Japan,9,2019,1.929,1.347,2.273,2.513,1.774,2.145,2.342,14.322999999999999,0.5115357142857142
26,Japan,9,2020,2.303,1.477,2.273,2.513,1.046,1.189,2.342,13.143,0.46939285714285717
27,Japan,9,2021,2.303,1.477,2.273,2.513,1.046,1.189,2.342,13.143,0.46939285714285717
28,Burma/Myanmar,10,2018,0.999,0.626,0.394,-0.344,-0.333,-0.127,-0.305,0.9100000000000004,0.032500000000000015
